"primary_block","subgroup","display_order","section_anchor","method","cite_keys","venue","year","chronology_month","chronology_basis","backbone","wm_architecture","params_total","params_trainable","role_tags","input_modalities","feedback_modalities","state_representation","prediction_target","control_variables","intervention_variables","training_strategy","objective_algorithm","training_data","training_data_type","training_scale_value","training_scale_unit","applications","benchmarks","evaluation_type","verified_from_primary","evidence_note","venue","chronology_month","chronology_basis"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","6","Interactive Visual Worlds and Game Simulators","iVideoGPT","arxiv240515223","NeurIPS","2024","2024-12","formal conference month","compressive video tokenizer","autoregressive transformer","NR","NR","TI-I;TI-G;AC-R","V","R","discrete V-A-R tokens","V; R","A","alternative A","pretrain + downstream adaptation","next-token prediction","human; robot manipulation trajectories","real + sim","NR","NR","video prediction; planning; MBRL","robot manipulation; DMC","named tasks","true","Primary paper abstract and Secs. 2-4; multimodal token sequence and millions-of-trajectories wording verified. Numeric scale remains NR because the source summary does not bind one precise count to all training stages.","NeurIPS","2024-12","formal conference month"
"temporal_imaginative","Interactive Visual Worlds and Game Simulators","7","Interactive Visual Worlds and Game Simulators","UniSim","arxiv231006114","ICLR","2024","2024-05","formal conference month","latent video diffusion","instruction/action-conditioned simulator","NR","NR","TI-I;TI-G;AC-V;AC-R;AC-N","I","NR","visual context","future V","T; A","alternative instruction/action","multi-source generative training","conditional video generation","images; navigation; robot data","real + mixed","NR","NR","policy training; simulation","real-robot zero-shot transfer; navigation","custom tasks","true","Primary paper abstract and method; heterogeneous image/navigation/robot data and high-/low-level control verified. Parameter count and unified numeric scale not reported.","ICLR","2024-05","formal conference month"
"temporal_imaginative","Large-Scale Video Worlds and Foundation Generative Simulators","8","Large-Scale Video Worlds and Foundation Generative Simulators","Cosmos 3","arxiv260602800","arXiv","2026","2026-06","arXiv v1 month","omnimodal transformer","omnimodal world model","NR","NR","TI-I;TI-G;TI-M;AC-V;AC-R;AC-D","V; I; T","NR","visual tokens","V","T; I; V","NR","omnimodal joint training","multimodal understanding + generation + action","large-scale multimodal Physical-AI data","real + synthetic","NR","NR","Physical AI reasoning; simulation; control","robotics; driving; camera motion","custom suite","true","Primary NVIDIA technical report verifies a shared omnimodal model spanning language, image, video, audio, and action with autoregressive and diffusion capabilities.","arXiv","2026-06","arXiv v1 month"
"temporal_imaginative","Large-Scale Video Worlds and Foundation Generative Simulators","9","Large-Scale Video Worlds and Foundation Generative Simulators","Pandora","arxiv240609455","arXiv","2024","2024-06","arXiv v1 month","video diffusion model","language-action-conditioned video dynamics","NR","NR","TI-I;TI-G","V; T","A","NR","V","T; natural-language A","alternative language A","pretrain + action conditioning","conditional video prediction","general videos with language actions","real video","NR","NR","general world simulation","custom video/world tests","custom protocol","true","Primary paper abstract and method; natural-language actions and video-state prediction verified. No table-ready total/trainable count or precise unified scale found.","arXiv","2024-06","arXiv v1 month"
"temporal_imaginative","Large-Scale Video Worlds and Foundation Generative Simulators","10","Large-Scale Video Worlds and Foundation Generative Simulators","PAN","arxiv251109057","arXiv","2025","2025-11","arXiv v1 month","LLM latent backbone","GLP + video diffusion decoder","NR","NR","TI-I;TI-G;TI-M","V; T","A","Lat","V","natural-language A","alternative A","large-scale video-action training","AR latent prediction + diffusion decoding","cross-domain video-action pairs","real + mixed","NR","NR","open-domain world simulation","action simulation; long-horizon forecasting; reasoning","custom protocol","true","Primary paper abstract: Generative Latent Prediction combines an LLM autoregressive latent dynamics backbone with a video diffusion decoder and is trained on cross-domain video-action pairs. Counts not stated in abstract-level evidence.","arXiv","2025-11","arXiv v1 month"
"temporal_imaginative","Long-Horizon Controllable Worlds and State Persistence","11","Long-Horizon Controllable Worlds and State Persistence","StableWorld","arxiv260115281","arXiv","2026","2026-01","arXiv v1 month","video diffusion model","history-filtered interactive generator","NR","NR","TI-I;TI-G;TI-M","V; T","NR","selected history frames","V","T; Cam","alternative T/Cam","post-training for stable rollout","interactive video prediction + history filtering","interactive video","real + synthetic","NR","NR","long interactive worlds","custom long-rollout protocol","custom protocol","true","Primary paper verifies controllable interactive video generation, long-horizon temporal degradation, and dynamic eviction of degraded history frames while retaining geometrically consistent frames.","arXiv","2026-01","arXiv v1 month"
"temporal_imaginative","Long-Horizon Controllable Worlds and State Persistence","12","Long-Horizon Controllable Worlds and State Persistence","ActWorld","arxiv260617730","arXiv","2026","2026-06","arXiv v1 month","video world model","action-aware hierarchical memory","NR","NR","TI-I;TI-G;TI-M;SS-E;AC-N","V","NR","event/object memory tokens","V","A; object interaction","alternative A","memory-augmented training","future video + memory consistency","navigation-centered interactive video","real + synthetic","NR","NR","interactive exploration","custom exploration protocol","custom protocol","true","Primary paper verifies chunk-autoregressive interactive generation, navigation and mid-rollout object actions, and persistent event-update/object-identity memory across long rollouts.","arXiv","2026-06","arXiv v1 month"
"temporal_imaginative","Long-Horizon Controllable Worlds and State Persistence","13","Long-Horizon Controllable Worlds and State Persistence","WorldPlay","arxiv251214614","arXiv","2025","2025-12","arXiv v1 month","streaming video diffusion","reconstituted context memory","NR","NR","TI-I;TI-G;TI-M;AC-N","V","NR","memory context","V","keyboard/mouse A","alternative A","teacher-student distillation","Context Forcing + video diffusion","interactive scene video","real + synthetic","NR","NR","real-time interactive worlds","720p/24-FPS demos; consistency tests","custom protocol","true","Primary paper abstract: Dual Action Representation, Reconstituted Context Memory, and Context Forcing distillation verified; 720p at 24 FPS is inference throughput, not training scale.","arXiv","2025-12","arXiv v1 month"
"structured_state","Spatial, Geometric, and Occupancy States","1","Spatial, Geometric, and Occupancy States","Copilot4D","copilot4d2023","ICLR","2024","2024-05","formal conference month","point-cloud tokenizer","discrete diffusion","NR","NR","TI-G;SS-G;AC-D","L; P","A","discrete LiDAR tokens","future LiD","ego motion","alternative ego motion","supervised sequence modeling","discrete diffusion forecasting","autonomous-driving LiDAR","real driving","NR","NR","LiDAR forecasting","Waymo Open Dataset","named dataset","true","Primary paper method and experiments; VQ-style point-cloud tokenization and discrete diffusion future prediction on Waymo verified. Parameter and run-specific scale not reported in compact comparable form.","ICLR","2024-05","formal conference month"
"structured_state","Spatial, Geometric, and Occupancy States","2","Spatial, Geometric, and Occupancy States","BEVWorld","bevworld2024","arXiv","2024","2024-07","arXiv v1 month","multi-sensor encoders","unified BEV latent diffusion","NR","NR","TI-G;SS-G;AC-D","I; L; P","A","BEV latent","future BEV / sensors","A","alternative A","multi-modal pretraining","cross-modal reconstruction + latent diffusion","multi-sensor driving data","real driving","NR","NR","driving representation; forecasting","nuScenes","named dataset","true","Primary paper method and experiments; unified BEV latent space, sensor reconstruction, and future prediction verified. Exact total/trainable count and aggregate scale not reported.","arXiv","2024-07","arXiv v1 month"
"structured_state","Spatial, Geometric, and Occupancy States","3","Spatial, Geometric, and Occupancy States","OmniNWM","arxiv251018313","ECCV","2025","2025-10","arXiv v1 month","panoramic multi-modal encoder","navigation world model + occupancy reward","NR","NR","TI-G;SS-G;AC-D;AC-N","I; P","R","RGB / semantic / depth / Occ","future multimodal panorama; Occ","ego Traj.","alternative Traj.","joint multimodal training","future generation + occupancy-grounded reward","navigation trajectories","sim + real","NR","NR","navigation policy evaluation","custom navigation tasks","custom protocol","true","Primary paper verifies aligned panoramic RGB, semantics, metric depth, and 3D occupancy generation, geometric action encoding, long-horizon stabilization, and occupancy-grounded closed-loop policy evaluation.","ECCV","2025-10","arXiv v1 month"
"structured_state","Physical, Causal, and Interventional States","4","Physical, Causal, and Interventional States","MuJoCo","todorov2012mujoco","IROS","2012","2012-10","formal conference month","N/A","contact-rich rigid-body engine","N/A","N/A","SS-P;AC-R","Phy","contact","explicit Phy","next Phy","A; state","PhyPar","non-learned simulation","forward/inverse dynamics","N/A","N/A","N/A","N/A","model-based control","contact-rich control tasks","simulator protocol","true","Primary paper Sections II-IV verify explicit rigid-body/contact dynamics and model-based control interfaces; the engine does not learn an explicit causal graphical model, so SS-C is not assigned.","IROS","2012-10","formal conference month"
"structured_state","Physical, Causal, and Interventional States","5","Physical, Causal, and Interventional States","Isaac Gym","makoviychuk2021isaacgym","NeurIPS","2021","2021-12","formal conference month","N/A","GPU-parallel physics engine","N/A","N/A","SS-P;AC-R","Phy","R","explicit Phy","next Phy","A; state","PhyPar","simulator + policy learning","GPU simulation; RL objective external","N/A","N/A","N/A","N/A","robot policy learning","simulator throughput/tasks","simulator protocol","true","Primary paper Sections 2-5; GPU-resident parallel physics simulation and robot-learning demonstrations verified. Simulator has no meaningful neural parameter or training-data scale.","NeurIPS","2021-12","formal conference month"
"structured_state","Physical, Causal, and Interventional States","6","Physical, Causal, and Interventional States","Dojo","howell2022dojo","arXiv","2022","2022-03","arXiv v1 month","N/A","differentiable contact simulator","N/A","N/A","SS-P;AC-R","Phy","contact","explicit Phy","next Phy","A; state","PhyPar","differentiable simulation","analytical derivatives + optimization","N/A","N/A","N/A","N/A","planning; system identification","contact-system tasks","simulator protocol","true","Primary paper verifies differentiable contact dynamics for planning, control, and system identification; differentiability alone is not treated as explicit causal modeling.","arXiv","2022-03","arXiv v1 month"
"structured_state","Physical, Causal, and Interventional States","7","Physical, Causal, and Interventional States","Causal World Models","arxiv201214228","arXiv","2020","2020-12","arXiv v1 month","image encoder","latent deconfounded dynamics","NR","NR","TI-I;TI-G;SS-P;SS-C","I","NR","Lat; Cau","next Lat","A","alternative A","unsupervised representation + dynamics","deconfounding + transition prediction","physical interaction sequences","sim","NR","NR","counterfactual physical reasoning","CausalWorld-style tasks","named environment","true","Primary paper abstract/method; unsupervised deconfounding of action-conditioned physical dynamics and counterfactual use verified. Parameter count and consolidated scale not reported.","arXiv","2020-12","arXiv v1 month"
"structured_state","Physical, Causal, and Interventional States","8","Physical, Causal, and Interventional States","Variational Causal Dynamics","arxiv220611131","TMLR","2023","2023-11","journal publication month","variational encoder","modular latent causal dynamics","NR","NR","TI-G;SS-C","I","NR","factorized Lat; Cau","next Lat","A; mechanism","mechanism intervention","intervention training","variational causal dynamics objective","intervention env. trajectories","sim","NR","NR","mechanism adaptation","CausalWorld; synthetic systems","named environments","true","Primary paper verifies a causally factorized graphical transition model, reusable mechanisms, and adaptation under interventions; it does not require entity-centric or relational state.","TMLR","2023-11","journal publication month"
"structured_state","Physical, Causal, and Interventional States","9","Physical, Causal, and Interventional States","FOCUS","arxiv220601474","NeurIPS","2022","2022-12","formal conference month","latent encoder","causal structured transition model","NR","NR","TI-G;SS-C;AC-R","state","R","Lat causal graph","next Lat; R","A","alternative A","offline model-based RL","causal transition learning + policy optimization","offline RL trajectories","sim","NR","NR","offline control","D4RL-style control tasks","named benchmarks","true","Primary paper verifies reconstruction and use of causal transition structure for offline model-based RL; causal state factors are not presented as explicit entities or relations.","NeurIPS","2022-12","formal conference month"
"structured_state","Physical, Causal, and Interventional States","10","Physical, Causal, and Interventional States","C-JEPA","arxiv260211389","ICML","2026","2026-07","formal conference month","object-centric encoder","JEPA latent predictor","NR","NR","TI-I;TI-G;SS-C;SS-E;AC-R","I","NR","object Lat","masked/future object Lat","A","alternative interaction","self-supervised predictive learning","object-level latent masking + planning","interaction video","real + sim","NR","NR","counterfactual planning","custom interaction tasks","custom protocol","true","Primary paper verifies object-centric masked prediction, latent interventions with counterfactual-like effects, relational reasoning, and use of the representation for agent-control planning.","ICML","2026-07","formal conference month"
"action_coupled","Robot World Models and World-Action Models","1","Robot World Models and World-Action Models","DayDreamer","daydreamer2022","CoRL","2022","2022-12","formal conference month","CNN encoder/decoder","RSSM","NR","NR","TI-I;TI-G;TI-M;AC-R","I; P","R","Lat","I; R; continuation","A","alternative A","online real-world model-based RL","world prediction + latent actor-critic","real robot interaction","real","NR","NR","robot learning","4 real-robot tasks","custom robot tasks","true","Primary paper method and experiments; Dreamer-style latent imagination and online learning across four robots/tasks verified. No single aggregate parameter or transition scale retained.","CoRL","2022-12","formal conference month"
"action_coupled","Robot World Models and World-Action Models","2","Robot World Models and World-Action Models","RoboDreamer","robodreamer2024","ICML","2024","2024-07","formal conference month","video diffusion model","compositional action-conditioned video WM","NR","NR","TI-G;SS-E;AC-V;AC-R","I; T","NR","V","future V","T; A","object/action composition","robot-video training","compositional video diffusion","robot demonstrations","real robot","NR","NR","robot manipulation","unseen object-action compositions","custom protocol","true","Primary paper method and experiments; compositional video world modeling for robot imagination and unseen object-action combinations verified. Parameter/scale fields remain NR.","ICML","2024-07","formal conference month"
"action_coupled","Robot World Models and World-Action Models","3","Robot World Models and World-Action Models","Unified World Models","unifiedworldmodels2025","RSS","2025","2025-06","formal conference month","diffusion transformer","coupled video-action diffusion","NR","NR","TI-I;TI-G;AC-R","V","NR","shared V-A latent","V; A","A","alternative A","large-scale robot pretraining","joint video/action diffusion","robot datasets","real robot","NR","NR","manipulation; policy learning","robot manipulation suites","named + custom tasks","true","Primary paper abstract/method; one transformer couples video and action diffusion for forward/inverse dynamics, policy, and generation. Exact parameter and aggregate dataset scale not entered without a variant-specific source.","RSS","2025-06","formal conference month"
"action_coupled","Robot World Models and World-Action Models","4","Robot World Models and World-Action Models","WorldVLA","worldvla2025","arXiv","2025","2025-06","arXiv v1 month","VLM-style autoregressive transformer","joint action-world sequence model","NR","NR","TI-G;AC-V;AC-R","I; T","NR","shared visual-action tokens","future I; A","T; A","alternative A","joint robot sequence training","autoregressive image/action prediction","robot demonstrations","real robot","NR","NR","robot manipulation","CALVIN; robot tasks","named + custom tasks","true","Primary paper method and experiments; joint future-image and action-token autoregression verified. Parameter variant, trainable portion, and unified training scale are not unambiguously reported.","arXiv","2025-06","arXiv v1 month"
"action_coupled","Robot World Models and World-Action Models","5","Robot World Models and World-Action Models","GWM","gwm2025","ICCV","2025","2025-10","formal conference month","3D Gaussian representation","action-conditioned geometric dynamics","NR","NR","TI-I;TI-G;SS-G;AC-R","I; D; P","NR","GS","future GS / renderings","A","alternative A","3D reconstruction + dynamics training","geometric future prediction","multi-view robot demonstrations","real robot","NR","NR","robot manipulation; simulation","custom manipulation tasks","custom protocol","true","Primary paper method and experiments; action-conditioned future 3D Gaussian states and neural-simulator use verified. Parameter and data-scale values not reported in a comparable compact form.","ICCV","2025-10","formal conference month"
"temporal_imaginative","Predictive Representation and JEPA Models","1","Predictive Representation and JEPA Models","I-JEPA","assran2023ijepa","CVPR","2023","2023-06","formal conference month","ViT encoders + predictor","JEPA latent predictor","NR","NR","TI-G","I","NR","image patch embeddings","masked patch embeddings","None","None","self-supervised predictive learning","masked latent prediction","ImageNet-1K","real images","NR","NR","visual representation learning","ImageNet-1K; downstream vision tasks","named datasets","true","Primary CVPR paper verifies non-generative prediction of masked image-block representations; TI-G is used here only for predictive latent-state modeling, not temporal rollout or explicit entity structure.","CVPR","2023-06","formal conference month"
"temporal_imaginative","Predictive Representation and JEPA Models","2","Predictive Representation and JEPA Models","V-JEPA","bardes2024vjepa","TMLR","2024","2024-08","journal publication month","ViT encoders + predictor","JEPA latent predictor","NR","NR","TI-G","V","NR","video embeddings","masked video embeddings","None","None","self-supervised predictive learning","masked latent video prediction","Kinetics; Something-Something-v2; AVA","real video","NR","NR","video representation learning","Kinetics; SSv2; AVA","named datasets","true","Primary paper verifies masked spatiotemporal prediction in representation space; it does not introduce explicit entity structure or a persistent-memory mechanism.","TMLR","2024-08","journal publication month"
"temporal_imaginative","Predictive Representation and JEPA Models","3","Predictive Representation and JEPA Models","V-JEPA 2","assran2025vjepa2","arXiv","2025","2025-06","arXiv v1 month","ViT encoders + action-conditioned predictor","action-conditioned JEPA predictor","NR","NR","TI-I;TI-G;AC-R","V","NR","video Lat","future Lat","A","alternative A","self-supervised predictive learning + action conditioning","action-conditioned latent prediction + MPPI","1M-hour video; DROID","real video + robot","NR","NR","robot planning; manipulation","DROID; real-robot evaluation","named + custom","true","Primary paper verifies internet-scale video/image pretraining and post-training an action-conditioned latent predictor on DROID for MPPI planning with image goals on real robot arms.","arXiv","2025-06","arXiv v1 month"
"structured_state","Spatial, Geometric, and Occupancy States","3","Spatial, Geometric, and Occupancy States","OccWorld","arxiv231116038","ECCV","2024","2024-09","formal conference month","occupancy tokenizer + transformer","autoregressive occupancy transformer","NR","NR","TI-G;SS-G;AC-D","state","NR","Occ tokens","future Occ; ego motion","None","None","supervised sequence modeling","occupancy-token prediction + ego-motion prediction","nuScenes","real driving","NR","NR","occupancy forecasting; driving planning","nuScenes; Occ3D","named datasets","true","Primary ECCV paper verifies discrete occupancy tokenization and a spatial-temporal generative Transformer that predicts future occupancy and ego motion.","ECCV","2024-09","formal conference month"
"action_coupled","VLA Interfaces and Affordance-Constrained Control","1","VLA Interfaces and Affordance-Constrained Control","3D-VLA","threedvla2024","ICML","2024","2024-07","formal conference month","3D LLM + embodied diffusion","3D LLM + diffusion decoder","NR","NR","TI-G;SS-G;SS-E;AC-V;AC-R","I; L; T","NR","3D-language Lat","goal I; point cloud; A","T; A","alternative A","joint embodied training","action prediction + goal image/point-cloud generation","3D embodied instruction data","real + sim","NR","NR","robot reasoning; manipulation","held-in embodied datasets","named datasets","true","Primary ICML paper verifies a 3D LLM with action tokens and aligned diffusion models for goal-image and point-cloud generation.","ICML","2024-07","formal conference month"
"action_coupled","VLA Interfaces and Affordance-Constrained Control","2","VLA Interfaces and Affordance-Constrained Control","VLA-JEPA","vlajepa2026","arXiv","2026","2026-02","arXiv v1 month","VLA encoder + latent predictor","action-conditioned JEPA predictor","NR","NR","TI-G;AC-V;AC-R","I; T","NR","task Lat","future Lat; A","T; A","alternative A","self-supervised predictive learning + action-head tuning","leakage-free latent state prediction","LIBERO; SimplerEnv","real + sim robot","NR","NR","robot manipulation","LIBERO; SimplerEnv; real robot","named + custom","true","Primary paper verifies leakage-free future latent-state prediction followed by an action-head fine-tuning stage for VLA manipulation; no persistent-memory mechanism is used.","arXiv","2026-02","arXiv v1 month"
"action_coupled","Driving World Models","7","Driving World Models","GAIA-1","hu2023gaia1","arXiv","2023","2023-09","arXiv v1 month","video tokenizer + transformer","autoregressive transformer","NR","NR","TI-G;AC-D","V; T","NR","visual tokens","V","T; A","alternative A","unsupervised sequence modeling","next-token driving-scene prediction","proprietary driving video","real driving","NR","NR","driving simulation; scenario generation","closed-course driving data","custom protocol","true","Primary paper verifies autoregressive next-token prediction over video, text, and action tokens for controllable driving-scene generation.","arXiv","2023-09","arXiv v1 month"
"action_coupled","Driving World Models","8","Driving World Models","DriveDreamer","wang2023drivedreamer","ECCV","2024","2024-09","formal conference month","video diffusion model","trajectory-conditioned driving WM","NR","NR","TI-G;SS-G;AC-D","V; T","NR","visual context","future V","T; Scene","alternative Scene","driving-video predictive learning","structured traffic conditioning + video diffusion","nuScenes","real driving","NR","NR","driving simulation; data generation","nuScenes","named dataset","true","Primary ECCV paper verifies structured traffic constraints and diffusion-based future driving-scene generation on nuScenes.","ECCV","2024-09","formal conference month"
"action_coupled","Navigation, Spatial Memory, and Long-Horizon Feedback","12","Navigation, Spatial Memory, and Long-Horizon Feedback","PiJEPA","pijepa2026","arXiv","2026","2026-03","arXiv v1 month","frozen vision encoder + JEPA predictor","action-conditioned JEPA predictor","NR","NR","TI-I;TI-G;AC-V;AC-N","I; T","NR","navigation Lat","future Lat","Goal; A","alternative A","policy learning + predictive world-model learning","JEPA prediction + policy-guided MPPI","CAST","real navigation","NR","NR","language-conditioned navigation; planning","CAST navigation tasks","named + custom","true","Primary paper verifies future latent-state prediction and policy-guided MPPI for language-conditioned navigation; long-horizon difficulty is motivation rather than an explicit memory mechanism.","arXiv","2026-03","arXiv v1 month"
"action_coupled","Navigation, Spatial Memory, and Long-Horizon Feedback","13","Navigation, Spatial Memory, and Long-Horizon Feedback","RAE-NWM","raenwm2026","arXiv","2026","2026-03","arXiv v1 month","representation autoencoder + diffusion transformer","conditional diffusion transformer","NR","NR","TI-I;TI-G;AC-N","I","NR","dense visual Lat","future Lat","navigation A","alternative trajectory","navigation predictive learning","action-conditioned latent diffusion","navigation trajectories","real + sim","NR","NR","navigation planning","navigation datasets","named + custom","true","Primary paper verifies action-conditioned transitions in dense DINOv2 visual features for navigation; dense features improve structural stability but are not an explicit geometric state representation.","arXiv","2026-03","arXiv v1 month"
